"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Kalrn",4.87932679575653e-21,0.316374594527416,1,0.994,1.57543703581387e-16
"6","Rasgrf1",5.14135859698458e-21,0.607314555608071,0.923,0.647,1.66004186379438e-16
"6","St8sia5",7.21769389953287e-21,0.399291293717386,0.723,0.373,2.33044900628117e-16
"6","Rftn1",8.41029268988191e-21,0.3464100110218,0.458,0.159,2.71551530370907e-16
"6","Mitf",9.59209359837966e-21,0.509827379171278,0.606,0.281,3.09709518104482e-16
"6","Smyd3",9.81621440256319e-21,0.55013498299136,0.981,0.874,3.1694593062996e-16
"6","Elavl4",1.08867638045611e-20,0.637284076926641,0.871,0.602,3.51511829721668e-16
"6","Frmd3",1.50476771821192e-20,0.544345959351218,0.826,0.533,4.85859400856265e-16
"6","Adk",2.19485510970105e-20,0.630508673523815,0.89,0.575,7.08674817820274e-16
"6","2900026A02Rik",2.21616920251505e-20,0.441959900769493,0.703,0.362,7.1555671210806e-16
"6","Ripk2",2.3494875181897e-20,0.441535771717251,0.581,0.263,7.58602529873089e-16
"6","Slc35f1",2.5122401077239e-20,0.635005499722615,0.968,0.899,8.11152085981893e-16
"6","Runx1t1",3.11457822491918e-20,0.456096798385127,0.716,0.353,1.00563501726191e-15
"6","Dync1i1",5.43800639607214e-20,0.518552817730625,0.968,0.873,1.75582350516377e-15
"6","Rian",9.2471789644639e-20,0.382921099428484,1,0.971,2.9857291440461e-15
"6","Hip1",9.41311865923026e-20,0.44919747113591,0.671,0.329,3.03930775269226e-15
"6","Fam49b",9.75322187235438e-20,0.505268173998041,0.955,0.826,3.14912027814578e-15
"6","Chd5",1.08093191031719e-19,0.570463930632965,0.961,0.748,3.49011295203215e-15
"6","Ccn3",1.26253849043656e-19,0.565953692319413,0.555,0.26,4.07648427792156e-15
"6","Rgs20",1.31188804956258e-19,0.625832747412952,0.761,0.45,4.23582413442766e-15
"6","Slc39a11",1.776012076848e-19,0.364376067571351,0.606,0.275,5.73438779372682e-15
"6","Herc4",1.96788760734542e-19,0.577685229708657,0.916,0.732,6.35391550659689e-15
"6","Pde4a",2.05996826339185e-19,0.52804530571869,0.903,0.613,6.6512255288396e-15
"6","Tmem158",3.65375106495492e-19,0.301799683804618,0.413,0.143,1.17972314385264e-14
"6","Slc2a6",3.69723107035849e-19,0.384097385239272,0.568,0.24,1.19376196799735e-14
"6","Fxyd5",4.28525758389065e-19,0.405092277057336,0.632,0.285,1.38362396868661e-14
